MOVIES,YEAR,GENRE,RATING,STARS,VOTES,RunTime,Gross
The Hitman's Bodyguard,2017,"
Action, Comedy, Crime            ",6.9,"
    Director:
Patrick Hughes
| 
    Stars:
Ryan Reynolds, 
Samuel L. Jackson, 
Gary Oldman, 
Elodie Yung
","205,979",118.0,75.47
Jurassic Park,1993,"
Action, Adventure, Sci-Fi            ",8.1,"
    Director:
Steven Spielberg
| 
    Stars:
Sam Neill, 
Laura Dern, 
Jeff Goldblum, 
Richard Attenborough
","897,444",127.0,402.45
Don't Breathe,2016,"
Crime, Horror, Thriller            ",7.1,"
    Director:
Fede Alvarez
| 
    Stars:
Stephen Lang, 
Jane Levy, 
Dylan Minnette, 
Daniel Zovatto
","237,601",88.0,89.22
The Lord of the Rings: The Fellowship of the Ring,2001,"
Action, Adventure, Drama            ",8.8,"
    Director:
Peter Jackson
| 
    Stars:
Elijah Wood, 
Ian McKellen, 
Orlando Bloom, 
Sean Bean
","1,713,028",178.0,315.54
Escape Room,2019,"
Action, Adventure, Horror            ",6.4,"
    Director:
Adam Robitel
| 
    Stars:
Taylor Russell, 
Logan Miller, 
Jay Ellis, 
Tyler Labine
","99,351",99.0,57.01
Jaws,1975,"
Adventure, Thriller            ",8.0,"
    Director:
Steven Spielberg
| 
    Stars:
Roy Scheider, 
Robert Shaw, 
Richard Dreyfuss, 
Lorraine Gary
","558,731",124.0,260.0
The Departed,2006,"
Crime, Drama, Thriller            ",8.5,"
    Director:
Martin Scorsese
| 
    Stars:
Leonardo DiCaprio, 
Matt Damon, 
Jack Nicholson, 
Mark Wahlberg
","1,227,522",151.0,132.38
Gone Girl,2014,"
Drama, Mystery, Thriller            ",8.1,"
    Director:
David Fincher
| 
    Stars:
Ben Affleck, 
Rosamund Pike, 
Neil Patrick Harris, 
Tyler Perry
","895,888",149.0,167.77
Jumanji: Welcome to the Jungle,2017,"
Action, Adventure, Comedy            ",6.9,"
    Director:
Jake Kasdan
| 
    Stars:
Dwayne Johnson, 
Karen Gillan, 
Kevin Hart, 
Jack Black
","337,900",119.0,404.52
American Psycho,2000,"
Comedy, Crime, Drama            ",7.6,"
    Director:
Mary Harron
| 
    Stars:
Christian Bale, 
Justin Theroux, 
Josh Lucas, 
Bill Sage
","517,014",101.0,15.07
